time,r_LVLH_C_x,r_LVLH_C_y,r_LVLH_C_z,v_LVLH_C_x,v_LVLH_C_y,v_LVLH_C_z,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate
0.0,1.5,-0.2,0.2,-0.01700135892056421,0.0021942141557276095,-0.0033282114928030616,29.999999999999996,19.999999999999996,10.0,0.0,0.1,0.0
0.01,1.4998299869470664,-0.19997805593491247,0.19996671787227202,-0.017001251665782112,0.0021945988613754235,-0.0033282140527234505,30.000363989354256,20.001732047631204,10.001064189481866,0.0,0.1,0.0
0.02,1.4996599749666917,-0.1999561080227806,0.19993343571894695,-0.017001144408823745,0.0021949835645962506,-0.003328216612217806,30.00072801694968,20.003464088909194,10.00212840238427,0.0,0.1,0.0
0.03,1.4994899640588972,-0.19993415626362865,0.19990015354002907,-0.017001037149689112,0.002195368265390042,-0.0033282191712861275,30.001092082788066,20.00519612383323,10.003192638709843,0.0,0.1,0.0
0.04,1.499319954223705,-0.1999122006574809,0.19986687133552267,-0.017000929888378237,0.0021957529637567485,-0.003328221729928415,30.0014561868712,20.006928152402576,10.004256898461223,0.0,0.1,0.0
0.05,1.4991499454611368,-0.1998902412043616,0.19983358910543195,-0.01700082262489113,0.002196137659696321,-0.0033282242881446677,30.001820329200875,20.008660174616498,10.005321181641031,0.0,0.1,0.0
0.06,1.4989799377712145,-0.19986827790429504,0.1998003068497612,-0.017000715359227803,0.0021965223532087095,-0.0033282268459348856,30.002184509778868,20.010392190474246,10.006385488251913,0.0,0.1,0.0
0.07,1.4988099311539596,-0.19984631075730552,0.19976702456851467,-0.017000608091388272,0.0021969070442938656,-0.0033282294032990684,30.00254872860698,20.012124199975094,10.007449818296493,0.0,0.1,0.0
0.08,1.4986399256093939,-0.19982433976341726,0.19973374226169663,-0.017000500821372548,0.0021972917329517398,-0.0033282319602372153,30.002912985686983,20.013856203118294,10.008514171777405,0.0,0.1,0.0
0.09,1.4984699211375394,-0.19980236492265457,0.19970045992931135,-0.017000393549180648,0.0021976764191822826,-0.0033282345167493267,30.003277281020672,20.015588199903124,10.009578548697286,0.0,0.1,0.0
0.1,1.4982999177384175,-0.1997803862350417,0.19966717757136307,-0.017000286274812582,0.0021980611029854447,-0.0033282370728354013,30.00364161460985,20.01732019032884,10.01064294905877,0.0,0.1,0.0
0.11,1.4981299154120504,-0.19975840370060297,0.19963389518785604,-0.01700017899826837,0.0021984457843611774,-0.00332823962849544,30.00400598645629,20.01905217439469,10.011707372864482,0.0,0.1,0.0
0.12,1.4979599141584594,-0.19973641731936256,0.19960061277879457,-0.017000071719548017,0.002198830463309431,-0.0033282421837294413,30.004370396561786,20.020784152099953,10.01277182011707,0.0,0.1,0.0
0.13,1.4977899139776667,-0.19971442709134485,0.1995673303441829,-0.016999964438651545,0.002199215139830156,-0.003328244738537406,30.00473484492813,20.022516123443886,10.013836290819155,0.0,0.1,0.0
0.14,1.4976199148696936,-0.19969243301657408,0.19953404788402523,-0.016999857155578963,0.002199599813923304,-0.0033282472929193328,30.005099331557116,20.02424808842575,10.014900784973376,0.0,0.1,0.0
0.15,1.4974499168345623,-0.19967043509507448,0.19950076539832592,-0.016999749870330285,0.0021999844855888255,-0.0033282498468752216,30.00546385645052,20.025980047044808,10.015965302582373,0.0,0.1,0.0
0.16,1.4972799198722944,-0.19964843332687038,0.19946748288708915,-0.016999642582905525,0.0022003691548266708,-0.0033282524004050722,30.005828419610143,20.02771199930032,10.017029843648771,0.0,0.1,0.0
0.17,1.4971099239829115,-0.19962642771198605,0.19943420035031922,-0.0169995352933047,0.002200753821636791,-0.0033282549535088844,30.00619302103778,20.029443945191552,10.018094408175212,0.0,0.1,0.0
0.18,1.4969399291664354,-0.19960441825044573,0.1994009177880204,-0.01699942800152782,0.0022011384860191364,-0.003328257506186658,30.00655766073521,20.03117588471776,10.019158996164327,0.0,0.1,0.0
0.19,1.496769935422888,-0.19958240494227375,0.19936763520019693,-0.0169993207075749,0.0022015231479736584,-0.003328260058438392,30.00692233870423,20.03290781787821,10.02022360761875,0.0,0.1,0.0
0.2,1.4965999427522911,-0.19956038778749435,0.19933435258685306,-0.016999213411445953,0.002201907807500308,-0.003328262610264087,30.007287054946627,20.034639744672166,10.02128824254112,0.0,0.1,0.0
0.21,1.4964299511546664,-0.19953836678613185,0.19930106994799307,-0.016999106113140993,0.002202292464599035,-0.0033282651616637422,30.007651809464196,20.036371665098883,10.022352900934067,0.0,0.1,0.0
0.22,1.4962599606300357,-0.19951634193821047,0.19926778728362118,-0.016998998812660034,0.0022026771192697903,-0.003328267712637357,30.008016602258735,20.03810357915763,10.023417582800237,0.0,0.1,0.0
0.23,1.4960899711784206,-0.19949431324375452,0.19923450459374173,-0.01699889151000309,0.0022030617715125254,-0.0033282702631849312,30.008381433332023,20.03983548684766,10.024482288142249,0.0,0.1,0.0
0.24,1.4959199827998428,-0.1994722807027883,0.1992012218783589,-0.016998784205170172,0.002203446421327191,-0.003328272813306465,30.008746302685864,20.041567388168243,10.025547016962754,0.0,0.1,0.0
0.25,1.4957499954943243,-0.1994502443153361,0.19916793913747702,-0.0169986768981613,0.002203831068713737,-0.0033282753630019574,30.00911121032204,20.043299283118632,10.026611769264381,0.0,0.1,0.0
0.26,1.4955800092618867,-0.19942820408142212,0.19913465637110028,-0.016998569588976484,0.0022042157136721147,-0.0033282779122714083,30.009476156242343,20.045031171698096,10.027676545049768,0.0,0.1,0.0
0.27,1.495410024102552,-0.19940616000107073,0.199101373579233,-0.016998462277615735,0.002204600356202275,-0.0033282804611148176,30.009841140448586,20.0467630539059,10.028741344321551,0.0,0.1,0.0
0.28,1.4952400400163417,-0.19938411207430617,0.1990680907618794,-0.016998354964079074,0.0022049849963041686,-0.003328283009532185,30.01020616294253,20.048494929741288,10.029806167082363,0.0,0.1,0.0
0.29,1.4950700570032778,-0.19936206030115275,0.19903480791904377,-0.016998247648366507,0.002205369633977746,-0.0033282855575235094,30.010571223726,20.050226799203536,10.03087101333485,0.0,0.1,0.0
0.3,1.4949000750633816,-0.1993400046816347,0.19900152505073035,-0.01699814033047805,0.002205754269222958,-0.0033282881050887914,30.010936322800763,20.0519586622919,10.031935883081637,0.0,0.1,0.0
0.31,1.4947300941966755,-0.19931794521577637,0.19896824215694342,-0.016998033010413718,0.0022061389020397557,-0.00332829065222803,30.01130146016862,20.05369051900564,10.03300077632537,0.0,0.1,0.0
0.32,1.4945601144031806,-0.199295881903602,0.19893495923768723,-0.016997925688173526,0.0022065235324280896,-0.003328293198941226,30.01166663583138,20.055422369344026,10.034065693068683,0.0,0.1,0.0
0.33,1.4943901356829192,-0.1992738147451359,0.198901676292966,-0.016997818363757484,0.002206908160387911,-0.0033282957452283775,30.012031849790823,20.057154213306305,10.035130633314216,0.0,0.1,0.0
0.34,1.4942201580359127,-0.19925174374040233,0.19886839332278405,-0.01699771103716561,0.0022072927859191696,-0.0033282982910894853,30.012397102048748,20.058886050891754,10.036195597064598,0.0,0.1,0.0
0.35000000000000003,1.4940501814621832,-0.1992296688894256,0.19883511032714565,-0.016997603708397917,0.0022076774090218168,-0.0033283008365245486,30.012762392606934,20.060617882099617,10.037260584322476,0.0,0.1,0.0
0.36,1.493880205961752,-0.19920759019222997,0.198801827306055,-0.016997496377454412,0.0022080620296958033,-0.0033283033815335672,30.013127721467196,20.06234970692917,10.038325595090477,0.0,0.1,0.0
0.37,1.4937102315346413,-0.19918550764883977,0.1987685442595164,-0.01699738904433512,0.0022084466479410803,-0.0033283059261165404,30.013493088631325,20.064081525379663,10.039390629371258,0.0,0.1,0.0
0.38,1.4935402581808725,-0.19916342125927924,0.1987352611875341,-0.016997281709040045,0.002208831263757598,-0.003328308470273469,30.013858494101108,20.065813337450358,10.040455687167439,0.0,0.1,0.0
0.39,1.4933702859004676,-0.1991413310235727,0.19870197809011234,-0.016997174371569206,0.002209215877145307,-0.003328311014004351,30.01422393787835,20.06754514314052,10.041520768481663,0.0,0.1,0.0
0.4,1.4932003146934485,-0.1991192369417444,0.19866869496725542,-0.016997067031922615,0.0022096004881041586,-0.003328313557309188,30.014589419964835,20.06927694244941,10.042585873316574,0.0,0.1,0.0
0.41000000000000003,1.4930303445598365,-0.1990971390138187,0.19863541181896757,-0.016996959690100285,0.0022099850966341033,-0.003328316100187978,30.014954940362365,20.071008735376292,10.043651001674801,0.0,0.1,0.0
0.42,1.4928603754996537,-0.1990750372398198,0.19860212864525306,-0.016996852346102233,0.0022103697027350917,-0.0033283186426407213,30.01532049907274,20.072740521920416,10.044716153558994,0.0,0.1,0.0
0.43,1.4926904075129217,-0.19905293161977208,0.19856884544611617,-0.016996744999928468,0.002210754306407075,-0.003328321184667418,30.015686096097742,20.074472302081045,10.045781328971788,0.0,0.1,0.0
0.44,1.4925204405996624,-0.19903082215369977,0.19853556222156113,-0.016996637651579008,0.0022111389076500043,-0.003328323726268067,30.016051731439195,20.07620407585744,10.046846527915818,0.0,0.1,0.0
0.45,1.4923504747598972,-0.19900870884162716,0.19850227897159223,-0.016996530301053865,0.002211523506463829,-0.0033283262674426686,30.016417405098867,20.07793584324887,10.047911750393725,0.0,0.1,0.0
0.46,1.4921805099936485,-0.19898659168357857,0.1984689956962137,-0.016996422948353053,0.0022119081028485013,-0.0033283288081912225,30.01678311707857,20.079667604254585,10.04897699640815,0.0,0.1,0.0
0.47000000000000003,1.4920105463009374,-0.1989644706795783,0.19843571239542981,-0.016996315593476585,0.002212292696803971,-0.0033283313485137278,30.01714886738009,20.08139935887385,10.050042265961734,0.0,0.1,0.0
0.48,1.491840583681786,-0.19894234582965056,0.19840242906924485,-0.016996208236424476,0.0022126772883301893,-0.0033283338884101846,30.017514656005236,20.083131107105924,10.051107559057114,0.0,0.1,0.0
0.49,1.4916706221362162,-0.19892021713381974,0.19836914571766304,-0.016996100877196735,0.002213061877427107,-0.003328336427880592,30.017880482955796,20.084862848950074,10.052172875696929,0.0,0.1,0.0
0.5,1.4915006616642494,-0.1988980845921101,0.19833586234068865,-0.016995993515793385,0.0022134464640946746,-0.003328338966924951,30.01824634823357,20.086594584405542,10.053238215883823,0.0,0.1,0.0
0.51,1.4913307022659077,-0.19887594820454593,0.19830257893832595,-0.01699588615221443,0.0022138310483328432,-0.0033283415055432595,30.01861225184037,20.08832631347161,10.054303579620436,0.0,0.1,0.0
0.52,1.4911607439412125,-0.19885380797115154,0.1982692955105792,-0.016995778786459893,0.0022142156301415633,-0.0033283440437355187,30.01897819377797,20.09005803614752,10.055368966909404,0.0,0.1,0.0
0.53,1.4909907866901857,-0.1988316638919512,0.19823601205745267,-0.01699567141852978,0.002214600209520786,-0.0033283465815017272,30.019344174048182,20.09178975243255,10.056434377753373,0.0,0.1,0.0
0.54,1.490820830512849,-0.19880951596696922,0.19820272857895058,-0.016995564048424106,0.002214984786470462,-0.0033283491188418855,30.019710192652802,20.093521462325945,10.05749981215498,0.0,0.1,0.0
0.55,1.4906508754092245,-0.19878736419622986,0.19816944507507725,-0.01699545667614289,0.0022153693609905413,-0.0033283516557559927,30.02007624959364,20.095253165826968,10.058565270116869,0.0,0.1,0.0
0.56,1.4904809213793335,-0.1987652085797575,0.19813616154583688,-0.01699534930168614,0.0022157539330809758,-0.0033283541922440488,30.020442344872468,20.096984862934875,10.059630751641674,0.0,0.1,0.0
0.5700000000000001,1.4903109684231979,-0.19874304911757634,0.19810287799123377,-0.016995241925053875,0.0022161385027417158,-0.0033283567283060532,30.020808478491112,20.098716553648938,10.060696256732047,0.0,0.1,0.0
0.58,1.4901410165408395,-0.19872088580971073,0.19806959441127217,-0.016995134546246102,0.002216523069972712,-0.003328359263942006,30.021174650451364,20.100448237968408,10.061761785390622,0.0,0.1,0.0
0.59,1.4899710657322802,-0.19869871865618496,0.19803631080595635,-0.01699502716526284,0.002216907634773915,-0.0033283617991519067,30.021540860755017,20.102179915892545,10.062827337620046,0.0,0.1,0.0
0.6,1.4898011159975415,-0.19867654765702333,0.19800302717529056,-0.0169949197821041,0.002217292197145276,-0.003328364333935755,30.021907109403866,20.103911587420615,10.063892913422958,0.0,0.1,0.0
0.61,1.4896311673366454,-0.19865437281225015,0.19796974351927907,-0.0169948123967699,0.0022176767570867453,-0.0033283668682935496,30.022273396399733,20.105643252551868,10.064958512801997,0.0,0.1,0.0
0.62,1.4894612197496133,-0.19863219412188968,0.1979364598379261,-0.016994705009260248,0.002218061314598274,-0.003328369402225292,30.022639721744394,20.107374911285564,10.066024135759811,0.0,0.1,0.0
0.63,1.4892912732364674,-0.19861001158596625,0.19790317613123598,-0.01699459761957516,0.002218445869679813,-0.0033283719357309802,30.02300608543966,20.10910656362098,10.067089782299037,0.0,0.1,0.0
0.64,1.489121327797229,-0.19858782520450416,0.1978698923992129,-0.01699449022771465,0.002218830422331313,-0.003328374468810615,30.023372487487332,20.110838209557347,10.068155452422314,0.0,0.1,0.0
0.65,1.4889513834319204,-0.19856563497752772,0.19783660864186117,-0.016994382833678733,0.0022192149725527243,-0.0033283770014641955,30.023738927889216,20.112569849093948,10.069221146132298,0.0,0.1,0.0
0.66,1.4887814401405628,-0.1985434409050612,0.19780332485918503,-0.016994275437467423,0.002219599520343998,-0.0033283795336917217,30.024105406647102,20.114301482230033,10.070286863431622,0.0,0.1,0.0
0.67,1.4886114979231782,-0.19852124298712892,0.19777004105118876,-0.01699416803908073,0.0022199840657050854,-0.003328382065493193,30.024471923762793,20.116033108964857,10.07135260432293,0.0,0.1,0.0
0.68,1.4884415567797884,-0.1984990412237552,0.1977367572178766,-0.01699406063851867,0.0022203686086359363,-0.0033283845968686094,30.02483847923811,20.117764729297686,10.072418368808869,0.0,0.1,0.0
0.6900000000000001,1.488271616710415,-0.1984768356149643,0.1977034733592528,-0.016993953235781258,0.0022207531491365024,-0.00332838712781797,30.02520507307482,20.119496343227777,10.073484156892075,0.0,0.1,0.0
0.7000000000000001,1.48810167771508,-0.19845462616078055,0.19767018947532164,-0.016993845830868506,0.0022211376872067336,-0.003328389658341275,30.02557170527476,20.12122795075439,10.0745499685752,0.0,0.1,0.0
0.71,1.487931739793805,-0.19843241286122823,0.1976369055660874,-0.016993738423780432,0.002221522222846581,-0.0033283921884385242,30.025938375839704,20.122959551876775,10.075615803860885,0.0,0.1,0.0
0.72,1.4877618029466118,-0.1984101957163317,0.1976036216315543,-0.016993631014517042,0.002221906756055996,-0.003328394718109717,30.02630508477147,20.124691146594216,10.076681662751769,0.0,0.1,0.0
0.73,1.487591867173522,-0.19838797472611522,0.19757033767172663,-0.016993523603078355,0.002222291286834929,-0.0033283972473548526,30.026671832071862,20.12642273490594,10.0777475452505,0.0,0.1,0.0
0.74,1.4874219324745575,-0.1983657498906031,0.19753705368660862,-0.016993416189464382,0.00222267581518333,-0.0033283997761739312,30.027038617742676,20.128154316811226,10.078813451359723,0.0,0.1,0.0
0.75,1.48725199884974,-0.19834352120981963,0.19750376967620456,-0.01699330877367514,0.002223060341101151,-0.0033284023045669527,30.02740544178572,20.129885892309325,10.079879381082081,0.0,0.1,0.0
0.76,1.4870820662990911,-0.19832128868378915,0.1974704856405187,-0.01699320135571064,0.002223444864588342,-0.0033284048325339165,30.027772304202795,20.1316174613995,10.080945334420216,0.0,0.1,0.0
0.77,1.4869121348226328,-0.19829905231253594,0.1974372015795553,-0.0169930939355709,0.002223829385644854,-0.003328407360074822,30.028139204995696,20.13334902408101,10.082011311376775,0.0,0.1,0.0
0.78,1.4867422044203868,-0.19827681209608433,0.19740391749331862,-0.01699298651325593,0.0022242139042706376,-0.0033284098871896694,30.028506144166233,20.135080580353108,10.083077311954405,0.0,0.1,0.0
0.79,1.4865722750923749,-0.19825456803445862,0.19737063338181293,-0.01699287908876574,0.002224598420465644,-0.003328412413878458,30.02887312171622,20.136812130215056,10.08414333615575,0.0,0.1,0.0
0.8,1.486402346838619,-0.19823232012768313,0.19733734924504248,-0.016992771662100354,0.0022249829342298236,-0.003328414940141188,30.02924013764745,20.138543673666117,10.085209383983452,0.0,0.1,0.0
0.81,1.4862324196591403,-0.19821006837578212,0.19730406508301152,-0.016992664233259777,0.002225367445563127,-0.003328417465977858,30.029607191961723,20.14027521070554,10.086275455440159,0.0,0.1,0.0
0.8200000000000001,1.4860624935539608,-0.19818781277877995,0.19727078089572433,-0.016992556802244024,0.0022257519544655055,-0.003328419991388469,30.02997428466086,20.142006741332587,10.087341550528514,0.0,0.1,0.0
0.8300000000000001,1.4858925685231026,-0.1981655533367009,0.19723749668318516,-0.016992449369053114,0.00222613646093691,-0.0033284225163730196,30.030341415746648,20.143738265546524,10.088407669251165,0.0,0.1,0.0
0.84,1.485722644566587,-0.19814329004956932,0.1972042124453983,-0.016992341933687052,0.0022265209649772904,-0.0033284250409315102,30.0307085852209,20.1454697833466,10.089473811610759,0.0,0.1,0.0
0.85,1.485552721684436,-0.19812102291740946,0.19717092818236795,-0.016992234496145862,0.0022269054665865983,-0.00332842756506394,30.031075793085435,20.147201294732078,10.090539977609938,0.0,0.1,0.0
0.86,1.4853827998766713,-0.19809875194024568,0.19713764389409844,-0.01699212705642955,0.0022272899657647845,-0.003328430088770309,30.03144303934204,20.148932799702212,10.091606167251353,0.0,0.1,0.0
0.87,1.4852128791433148,-0.19807647711810225,0.19710435958059397,-0.016992019614538133,0.002227674462511799,-0.003328432612050617,30.03181032399251,20.150664298256267,10.092672380537644,0.0,0.1,0.0
0.88,1.485042959484388,-0.19805419845100353,0.19707107524185882,-0.016991912170471624,0.002228058956827593,-0.003328435134904863,30.03217764703867,20.152395790393495,10.093738617471463,0.0,0.1,0.0
0.89,1.4848730408999125,-0.1980319159389738,0.1970377908778973,-0.016991804724230036,0.002228443448712118,-0.003328437657333047,30.03254500848233,20.154127276113147,10.094804878055458,0.0,0.1,0.0
0.9,1.4847031233899104,-0.19800962958203738,0.1970045064887136,-0.016991697275813386,0.0022288279381653233,-0.0033284401793351693,30.032912408325288,20.155858755414503,10.09587116229227,0.0,0.1,0.0
0.91,1.4845332069544035,-0.1979873393802186,0.196971222074312,-0.016991589825221684,0.002229212425187161,-0.003328442700911229,30.03327984656935,20.1575902282968,10.096937470184546,0.0,0.1,0.0
0.92,1.4843632915934133,-0.19796504533354173,0.19693793763469677,-0.016991482372454948,0.0022295969097775813,-0.0033284452220612255,30.03364732321632,20.159321694759303,10.098003801734937,0.0,0.1,0.0
0.93,1.4841933773069615,-0.19794274744203114,0.19690465316987218,-0.016991374917513184,0.002229981391936535,-0.003328447742785159,30.034014838268018,20.161053154801273,10.099070156946091,0.0,0.1,0.0
