NO_OF_FRAMES,3866,,,,,,,,,,,,,,
NO_OF_CAMERAS,6,,,,,,,,,,,,,,
NO_OF_BODIES,1,,,,,,,,,,,,,,
FREQUENCY,100,,,,,,,,,,,,,,
NO_OF_ANALOG,0,,,,,,,,,,,,,,
ANALOG_FREQUENCY,0,,,,,,,,,,,,,,
DESCRIPTION,--,,,,,,,,,,,,,,
TIME_STAMP,"2025-03-12, 21:18:58.117",11536.53549,,,,,,,,,,,,,
DATA_INCLUDED,6D,,,,,,,,,,,,,,
BODY_NAMES,z-axis,,,,,,,,,,,,,,
BODY_FILTERS,No filter,,,,,,,,,,,,,,
TRANSLATION_ORIGIN,Global,,,,,,,,,,,,,,
ROTATION_ORIGIN,Global,,,,,,,,,,,,,,
z-axis X,Y,Z,Roll,Pitch,Yaw,Residual,Rot[0],Rot[1],Rot[2],Rot[3],Rot[4],Rot[5],Rot[6],Rot[7],Rot[8]
1185.91002,-78.69955,1113.25766,0.00515,0.02292,0.00366,0.01473,1,0.00006,-0.0004,-0.00006,1,0.00009,0.0004,-0.00009,1
1185.90538,-78.68413,1113.26137,0.00173,0.01759,-0.00214,0.0163,1,-0.00004,-0.00031,0.00004,1,0.00003,0.00031,-0.00003,1
1185.90238,-78.69775,1113.26856,-0.00972,0.01234,0.00059,0.00661,1,0.00001,-0.00022,-0.00001,1,-0.00017,0.00022,0.00017,1
1185.89507,-78.69267,1113.25882,0.00257,0.01428,0.00197,0.00361,1,0.00003,-0.00025,-0.00003,1,0.00004,0.00025,-0.00004,1
1185.89914,-78.68641,1113.26276,0.00346,0.0132,-0.00023,0.00665,1,0,-0.00023,0,1,0.00006,0.00023,-0.00006,1
1185.9072,-78.69134,1113.25946,0.00344,0.01151,0.0007,0.00577,1,0.00001,-0.0002,-0.00001,1,0.00006,0.0002,-0.00006,1
1185.90518,-78.69283,1113.26772,0.00585,0.01874,-0.00328,0.01751,1,-0.00006,-0.00033,0.00006,1,0.0001,0.00033,-0.0001,1
1185.90592,-78.69,1113.25596,-0.00313,0.00272,-0.00726,0.01119,1,-0.00013,-0.00005,0.00013,1,-0.00005,0.00005,0.00005,1
1185.90605,-78.69021,1113.26467,-0.00072,0.02418,0.00172,0.01317,1,0.00003,-0.00042,-0.00003,1,-0.00001,0.00042,0.00001,1
1185.90572,-78.68995,1113.26399,0.00682,0.02244,-0.00291,0.01252,1,-0.00005,-0.00039,0.00005,1,0.00012,0.00039,-0.00012,1
1185.92412,-78.69364,1113.27185,-0.00032,0.04191,-0.00325,0.0238,1,-0.00006,-0.00073,0.00006,1,-0.00001,0.00073,0.00001,1
1185.90112,-78.69759,1113.27194,0.00008,0.0217,-0.00234,0.00961,1,-0.00004,-0.00038,0.00004,1,0,0.00038,0,1
1185.90536,-78.69584,1113.27501,0.01153,0.04951,-0.00247,0.01127,1,-0.00004,-0.00086,0.00004,1,0.0002,0.00086,-0.0002,1
1185.90786,-78.69683,1113.26041,-0.01176,0.01464,0.00171,0.0104,1,0.00003,-0.00026,-0.00003,1,-0.00021,0.00026,0.00021,1
1185.90899,-78.69525,1113.27087,0.00121,0.0309,-0.00364,0.01927,1,-0.00006,-0.00054,0.00006,1,0.00002,0.00054,-0.00002,1
