time,r_LVLH_C_x,r_LVLH_C_y,r_LVLH_C_z,roll,pitch,yaw
0.0,1.5,0.0,0.0,29.999999999999996,20.0,10.0
0.01,1.4998322467670862,-1.133814614342326e-05,0.0,29.999999999999996,20.0,10.0
0.02,1.4996644938536212,-2.2672496369204842e-05,0.0,29.999999999999996,20.0,10.0
0.03,1.4994967412596265,-3.400305068457344e-05,0.0,29.999999999999996,20.0,10.0
0.04,1.4993289889851238,-4.532980909675833e-05,0.0,29.999999999999996,20.0,10.0
0.05,1.4991612370301344,-5.665277161298919e-05,0.0,29.999999999999996,20.0,10.0
0.06,1.4989934853946798,-6.797193824049619e-05,0.0,29.999999999999996,20.0,10.0
0.07,1.4988257340787814,-7.928730898651006e-05,0.0,29.999999999999996,20.0,10.0
0.08,1.4986579830824607,-9.059888385826193e-05,0.0,29.999999999999996,20.0,10.0
0.09,1.4984902324057392,-0.00010190666286298344,0.0,29.999999999999996,20.0,10.0
0.1,1.4983224820486385,-0.00011321064600790676,0.0,29.999999999999996,20.0,10.0
0.11,1.4981547320111799,-0.00012451083330026452,0.0,29.999999999999996,20.0,10.0
0.12,1.497986982293385,-0.00013580722474728978,0.0,29.999999999999996,20.0,10.0
0.13,1.497819232895275,-0.00014709982035621615,0.0,29.999999999999996,20.0,10.0
0.14,1.4976514838168717,-0.00015838862013427778,0.0,29.999999999999996,20.0,10.0
0.15,1.4974837350581967,-0.0001696736240887091,0.0,29.999999999999996,20.0,10.0
0.16,1.497315986619271,-0.00018095483222674524,0.0,29.999999999999996,20.0,10.0
0.17,1.4971482385001162,-0.00019223224455562176,0.0,29.999999999999996,20.0,10.0
0.18,1.496980490700754,-0.00020350586108257467,0.0,29.999999999999996,20.0,10.0
0.19,1.4968127432212055,-0.0002147756818148404,0.0,29.999999999999996,20.0,10.0
0.2,1.4966449960614927,-0.00022604170675965605,0.0,29.999999999999996,20.0,10.0
0.21,1.4964772492216367,-0.00023730393592425906,0.0,29.999999999999996,20.0,10.0
0.22,1.496309502701659,-0.00024856236931588736,0.0,29.999999999999996,20.0,10.0
0.23,1.4961417565015813,-0.0002598170069417795,0.0,29.999999999999996,20.0,10.0
0.24,1.4959740106214248,-0.00027106784880917415,0.0,29.999999999999996,20.0,10.0
0.25,1.495806265061211,-0.000282314894925311,0.0,29.999999999999996,20.0,10.0
0.26,1.4956385198209616,-0.00029355814529742966,0.0,29.999999999999996,20.0,10.0
0.27,1.495470774900698,-0.0003047975999327707,0.0,29.999999999999996,20.0,10.0
0.28,1.4953030303004413,-0.00031603325883857494,0.0,29.999999999999996,20.0,10.0
0.29,1.4951352860202134,-0.00032726512202208366,0.0,29.999999999999996,20.0,10.0
0.3,1.4949675420600357,-0.00033849318949053886,0.0,29.999999999999996,20.0,10.0
0.31,1.4947997984199295,-0.00034971746125118285,0.0,29.999999999999996,20.0,10.0
0.32,1.4946320550999164,-0.0003609379373112584,0.0,29.999999999999996,20.0,10.0
0.33,1.4944643121000178,-0.0003721546176780089,0.0,29.999999999999996,20.0,10.0
0.34,1.4942965694202555,-0.0003833675023586781,0.0,29.999999999999996,20.0,10.0
0.35000000000000003,1.4941288270606503,-0.00039457659136051036,0.0,29.999999999999996,20.0,10.0
0.36,1.4939610850212244,-0.00040578188469075026,0.0,29.999999999999996,20.0,10.0
0.37,1.4937933433019988,-0.0004169833823566433,0.0,29.999999999999996,20.0,10.0
0.38,1.4936256019029952,-0.0004281810843654352,0.0,29.999999999999996,20.0,10.0
0.39,1.493457860824235,-0.0004393749907243721,0.0,29.999999999999996,20.0,10.0
0.4,1.4932901200657396,-0.00045056510144070067,0.0,29.999999999999996,20.0,10.0
0.41000000000000003,1.4931223796275306,-0.0004617514165216682,0.0,29.999999999999996,20.0,10.0
0.42,1.4929546395096291,-0.0004729339359745223,0.0,29.999999999999996,20.0,10.0
0.43,1.4927868997120572,-0.0004841126598065113,0.0,29.999999999999996,20.0,10.0
0.44,1.492619160234836,-0.0004952875880248838,0.0,29.999999999999996,20.0,10.0
0.45,1.492451421077987,-0.0005064587206368889,0.0,29.999999999999996,20.0,10.0
0.46,1.4922836822415317,-0.0005176260576497761,0.0,29.999999999999996,20.0,10.0
0.47000000000000003,1.4921159437254916,-0.0005287895990707958,0.0,29.999999999999996,20.0,10.0
0.48,1.491948205529888,-0.0005399493449071984,0.0,29.999999999999996,20.0,10.0
0.49,1.4917804676547426,-0.000551105295166235,0.0,29.999999999999996,20.0,10.0
0.5,1.4916127301000768,-0.0005622574498551573,0.0,29.999999999999996,20.0,10.0
0.51,1.491444992865912,-0.0005734058089812173,0.0,29.999999999999996,20.0,10.0
0.52,1.4912772559522698,-0.0005845503725516676,0.0,29.999999999999996,20.0,10.0
0.53,1.4911095193591715,-0.0005956911405737612,0.0,29.999999999999996,20.0,10.0
0.54,1.4909417830866387,-0.0006068281130547513,0.0,29.999999999999996,20.0,10.0
0.55,1.4907740471346929,-0.0006179612900018925,0.0,29.999999999999996,20.0,10.0
0.56,1.4906063115033554,-0.0006290906714224388,0.0,29.999999999999996,20.0,10.0
0.5700000000000001,1.4904385761926477,-0.0006402162573236454,0.0,29.999999999999996,20.0,10.0
0.58,1.4902708412025916,-0.0006513380477127677,0.0,29.999999999999996,20.0,10.0
0.59,1.4901031065332082,-0.0006624560425970616,0.0,29.999999999999996,20.0,10.0
0.6,1.489935372184519,-0.0006735702419837837,0.0,29.999999999999996,20.0,10.0
0.61,1.4897676381565457,-0.0006846806458801908,0.0,29.999999999999996,20.0,10.0
